destination,aspecto,negativo,neutro,positivo,total_tuplas,pct_negativo,pct_neutro,pct_positivo,score_promedio,confianza_promedio,reseñas_unicas,score_normalizado_0_1
Valle del Colca,accesibilidad,2.0,117.0,0.0,119.0,0.01680672268907563,0.9831932773109243,0.0,-0.01680672268907563,0.9759529718831808,119,0.49159663865546216
Valle del Colca,aforo_multitudes,11.0,45.0,0.0,56.0,0.19642857142857142,0.8035714285714286,0.0,-0.19642857142857142,0.9328822844794818,56,0.4017857142857143
Valle del Colca,alojamiento,0.0,30.0,7.0,37.0,0.0,0.8108108108108109,0.1891891891891892,0.1891891891891892,0.9399184584617615,37,0.5945945945945946
Valle del Colca,atencion_servicio,1.0,31.0,27.0,59.0,0.01694915254237288,0.5254237288135594,0.4576271186440678,0.4406779661016949,0.8687030056775626,59,0.7203389830508474
Valle del Colca,atractivos,5.0,0.0,499.0,504.0,0.00992063492063492,0.0,0.9900793650793651,0.9801587301587301,0.9956059492533169,504,0.9900793650793651
Valle del Colca,clima,34.0,61.0,0.0,95.0,0.35789473684210527,0.6421052631578947,0.0,-0.35789473684210527,0.8931930168678887,95,0.32105263157894737
Valle del Colca,costos,14.0,25.0,3.0,42.0,0.3333333333333333,0.5952380952380952,0.07142857142857142,-0.2619047619047619,0.8796421147528148,42,0.36904761904761907
Valle del Colca,gastronomia,0.0,53.0,4.0,57.0,0.0,0.9298245614035088,0.07017543859649122,0.07017543859649122,0.9477891597831458,57,0.5350877192982456
Valle del Colca,limpieza,2.0,0.0,32.0,34.0,0.058823529411764705,0.0,0.9411764705882353,0.8823529411764706,0.9760351075845606,34,0.9411764705882353
Valle del Colca,seguridad,3.0,2.0,9.0,14.0,0.21428571428571427,0.14285714285714285,0.6428571428571429,0.42857142857142855,0.9025510932718005,14,0.7142857142857143
